what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1305048018565
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1305048018565
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1305048018567
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1305048018568
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1305048018569
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1305048018570
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1305048018571
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1305048018572
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1305048018573
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1305048018579
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1305048018581
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1305048018581
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1305048018583
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1305048018584
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1305048018584
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1305048018585
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1305048018585
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1305048018586
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1305048018587
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1305048018588
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1305048018589
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1305048018592
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1305048018593
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1305048018594
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1305048018596
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1305048018597
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1305048018598
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1305048018599
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1305048018600
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1305048018602
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1305048018602
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1305048018602
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1305048018603
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1305048018604
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1305048018605
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1305048018607
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1305048018608
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1305048018609
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1305048018610
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1305048018612
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1305048018613
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1305048018614
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1305048018615
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1305048018616
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1305048018618
started,bundle,com.ibm.team.build.ui,2.0.2.I200911021946,"com.ibm.team.build.ui",1305048018620
started,bundle,com.ibm.team.collaboration.rcp.core,1.0.0.I200905221749,"com.ibm.team.collaboration.rcp.core",1305048018621
started,bundle,com.ibm.team.collaboration.rcp.ui,1.0.1.I200909021705,"com.ibm.team.collaboration.rcp.ui",1305048018622
started,bundle,com.ibm.team.filesystem.cli.client,2.0.2.I201101122050,"com.ibm.team.filesystem.cli.client",1305048018624
started,bundle,com.ibm.team.filesystem.cli.core,2.0.2.I201101231902,"com.ibm.team.filesystem.cli.core",1305048018628
started,bundle,com.ibm.team.filesystem.client,2.0.2.I201101122050,"com.ibm.team.filesystem.client",1305048018630
started,bundle,com.ibm.team.filesystem.common,2.0.2.I201007061829,"com.ibm.team.filesystem.common",1305048018630
started,bundle,com.ibm.team.filesystem.ide.ui,2.0.2.I201101122050,"com.ibm.team.filesystem.ide.ui",1305048018633
started,bundle,com.ibm.team.filesystem.rcp.core,2.0.2.I201101122050,"com.ibm.team.filesystem.rcp.core",1305048018636
started,bundle,com.ibm.team.filesystem.rcp.ui,2.0.2.I201101122050,"com.ibm.team.filesystem.rcp.ui",1305048018637
started,bundle,com.ibm.team.foundation.common,1.0.2.I200912011528,"com.ibm.team.foundation.common",1305048018638
started,bundle,com.ibm.team.foundation.rcp.core,1.0.2.I200912011528,"com.ibm.team.foundation.rcp.core",1305048018639
started,bundle,com.ibm.team.foundation.rcp.ui,1.0.0.I200906030943,"com.ibm.team.foundation.rcp.ui",1305048018640
started,bundle,com.ibm.team.interop.common,2.0.1.I200909012238,"com.ibm.team.interop.common",1305048018641
started,bundle,com.ibm.team.javalogging.ui,1.0.2.I200910052001,"com.ibm.team.javalogging.ui",1305048018644
started,bundle,com.ibm.team.jface,1.0.2.I201011251618,"com.ibm.team.jface",1305048018645
started,bundle,com.ibm.team.log4j.ui,1.0.2.I200910052001,"com.ibm.team.log4j.ui",1305048018648
started,bundle,com.ibm.team.metronome,2.0.2.I200910232005,"com.ibm.team.metronome",1305048018649
started,bundle,com.ibm.team.process.common,1.0.200.I201005101625,"com.ibm.team.process.common",1305048018650
started,bundle,com.ibm.team.process.rcp.ui,1.0.100.I201008311925,"com.ibm.team.process.rcp.ui",1305048018651
started,bundle,com.ibm.team.repository.client,1.0.2.I201009021352,"com.ibm.team.repository.client",1305048018653
started,bundle,com.ibm.team.repository.common,1.0.2.I201008190402,"com.ibm.team.repository.common",1305048018654
started,bundle,com.ibm.team.repository.common.remoteaccess,1.0.2.I201008120202,"com.ibm.team.repository.common.remoteaccess",1305048018655
started,bundle,com.ibm.team.repository.common.serialize,1.0.2.I200910242001,"com.ibm.team.repository.common.serialize",1305048018657
started,bundle,com.ibm.team.repository.rcp.common,2.0.0.I201001291657,"com.ibm.team.repository.rcp.common",1305048018657
started,bundle,com.ibm.team.repository.rcp.core,2.0.0.I200905272057,"com.ibm.team.repository.rcp.core",1305048018659
